date,ticker,label
2026-08-27,BULL,win
2026-08-27,BUMI,win
2026-08-27,BUVA,win
2026-08-27,BWPT,win
2026-08-27,DEWA,win
2026-08-27,DSSA,win
2026-08-27,FPNI,win
2026-08-27,INET,win
2026-08-27,ISAT,win
2026-08-27,JARR,win
2026-08-27,MBMA,win
2026-08-27,NICL,win
2026-08-27,RANS,win
2026-08-27,SGER,win
2026-08-27,VKTR,win
2026-08-27,WIFI,win
2026-08-27,BBCA,draw
2026-08-28,DSSA,win
2026-08-28,PTBA,win
2026-08-28,ADMR,loss
2026-08-28,BUMI,loss
2026-08-28,DEWA,loss
2026-08-28,NICL,loss
2026-08-31,ADRO,win
2026-08-31,DMAS,win
2026-08-31,PTRO,win
2026-08-31,UNVR,loss
2026-09-01,BBRI,win
2026-09-01,BMRI,win
2026-09-01,BUMI,win
2026-09-01,DSSA,win
2026-09-01,KOTA,win
2026-09-01,PTBA,win
2026-09-01,SINI,win
2026-09-01,SMGR,win
2026-09-01,CPIN,win
