variant_id,variant_label,date,active_ticker_count,available_ticker_count,target_selected_count
layer1_only,Layer 1 only,2001-05-25,0,11,0
layer1_only,Layer 1 only,2001-05-28,0,11,0
layer1_only,Layer 1 only,2001-05-29,0,11,0
layer1_only,Layer 1 only,2001-05-30,0,11,0
layer1_only,Layer 1 only,2001-05-31,0,11,0
layer1_only,Layer 1 only,2001-06-01,0,11,0
layer1_only,Layer 1 only,2001-06-04,0,11,0
layer1_only,Layer 1 only,2001-06-05,0,11,0
layer1_only,Layer 1 only,2001-06-06,0,11,0
layer1_only,Layer 1 only,2001-06-07,0,12,0
layer1_only,Layer 1 only,2001-06-08,0,12,0
layer1_only,Layer 1 only,2001-06-11,0,12,0
layer1_only,Layer 1 only,2001-06-12,0,12,0
layer1_only,Layer 1 only,2001-06-13,0,12,0
layer1_only,Layer 1 only,2001-06-14,0,12,0
layer1_only,Layer 1 only,2001-06-15,0,12,0
layer1_only,Layer 1 only,2001-06-18,0,12,0
layer1_only,Layer 1 only,2001-06-19,0,12,0
layer1_only,Layer 1 only,2001-06-20,0,12,0
layer1_only,Layer 1 only,2001-06-21,0,12,0
layer1_only,Layer 1 only,2001-06-22,0,12,0
layer1_only,Layer 1 only,2001-06-25,0,12,0
layer1_only,Layer 1 only,2001-06-26,0,12,0
layer1_only,Layer 1 only,2001-06-27,0,12,0
layer1_only,Layer 1 only,2001-06-28,0,12,0
layer1_only,Layer 1 only,2001-06-29,0,12,0
layer1_only,Layer 1 only,2001-07-02,0,12,0
layer1_only,Layer 1 only,2001-07-03,0,12,0
layer1_only,Layer 1 only,2001-07-04,0,12,0
layer1_only,Layer 1 only,2001-07-05,0,12,0
layer1_only,Layer 1 only,2001-07-06,0,12,0
layer1_only,Layer 1 only,2001-07-09,0,12,0
layer1_only,Layer 1 only,2001-07-10,0,12,0
layer1_only,Layer 1 only,2001-07-11,0,12,0
layer1_only,Layer 1 only,2001-07-12,0,12,0
layer1_only,Layer 1 only,2001-07-13,0,12,0
layer1_only,Layer 1 only,2001-07-16,0,12,0
layer1_only,Layer 1 only,2001-07-17,0,12,0
layer1_only,Layer 1 only,2001-07-18,0,12,0
layer1_only,Layer 1 only,2001-07-19,0,12,0
layer1_only,Layer 1 only,2001-07-20,0,12,0
layer1_only,Layer 1 only,2001-07-23,0,12,0
layer1_only,Layer 1 only,2001-07-24,12,12,12
layer1_only,Layer 1 only,2001-07-25,12,12,12
layer1_only,Layer 1 only,2001-07-26,12,12,12
layer1_only,Layer 1 only,2001-07-27,12,12,12
layer1_only,Layer 1 only,2001-07-30,12,12,12
layer1_only,Layer 1 only,2001-07-31,12,12,12
layer1_only,Layer 1 only,2001-08-01,12,12,12
layer1_only,Layer 1 only,2001-08-02,12,12,12
layer1_only,Layer 1 only,2001-08-03,12,12,12
layer1_only,Layer 1 only,2001-08-06,12,12,12
layer1_only,Layer 1 only,2001-08-07,12,12,12
layer1_only,Layer 1 only,2001-08-08,12,12,12
layer1_only,Layer 1 only,2001-08-09,12,12,12
layer1_only,Layer 1 only,2001-08-10,12,12,12
layer1_only,Layer 1 only,2001-08-13,12,12,12
layer1_only,Layer 1 only,2001-08-14,12,12,12
layer1_only,Layer 1 only,2001-08-15,12,12,12
layer1_only,Layer 1 only,2001-08-16,12,12,12
layer1_only,Layer 1 only,2001-08-17,12,12,12
layer1_only,Layer 1 only,2001-08-20,12,12,12
layer1_only,Layer 1 only,2001-08-21,12,12,12
layer1_only,Layer 1 only,2001-08-22,12,12,12
layer1_only,Layer 1 only,2001-08-23,12,12,12
layer1_only,Layer 1 only,2001-08-24,12,12,12
layer1_only,Layer 1 only,2001-08-27,12,12,12
layer1_only,Layer 1 only,2001-08-28,12,12,12
layer1_only,Layer 1 only,2001-08-29,12,12,12
layer1_only,Layer 1 only,2001-08-30,12,12,12
layer1_only,Layer 1 only,2001-08-31,12,12,12
layer1_only,Layer 1 only,2001-09-03,12,12,12
layer1_only,Layer 1 only,2001-09-04,12,12,12
layer1_only,Layer 1 only,2001-09-05,12,12,12
layer1_only,Layer 1 only,2001-09-06,12,12,12
layer1_only,Layer 1 only,2001-09-07,12,12,12
layer1_only,Layer 1 only,2001-09-10,12,12,12
layer1_only,Layer 1 only,2001-09-11,12,12,12
layer1_only,Layer 1 only,2001-09-12,12,12,12
layer1_only,Layer 1 only,2001-09-13,12,12,12
layer1_only,Layer 1 only,2001-09-14,12,12,12
layer1_only,Layer 1 only,2001-09-17,12,12,12
layer1_only,Layer 1 only,2001-09-18,12,12,12
layer1_only,Layer 1 only,2001-09-19,12,12,12
layer1_only,Layer 1 only,2001-09-20,12,12,12
layer1_only,Layer 1 only,2001-09-21,12,12,12
layer1_only,Layer 1 only,2001-09-24,12,12,12
layer1_only,Layer 1 only,2001-09-25,13,13,13
layer1_only,Layer 1 only,2001-09-26,13,13,13
layer1_only,Layer 1 only,2001-09-27,13,13,13
layer1_only,Layer 1 only,2001-09-28,0,13,0
layer1_only,Layer 1 only,2001-10-01,0,13,0
layer1_only,Layer 1 only,2001-10-02,0,13,0
layer1_only,Layer 1 only,2001-10-03,0,13,0
layer1_only,Layer 1 only,2001-10-04,0,13,0
layer1_only,Layer 1 only,2001-10-05,0,13,0
layer1_only,Layer 1 only,2001-10-08,0,13,0
layer1_only,Layer 1 only,2001-10-09,0,13,0
layer1_only,Layer 1 only,2001-10-10,0,13,0
layer1_only,Layer 1 only,2001-10-11,0,13,0
layer1_only,Layer 1 only,2001-10-12,0,13,0
layer1_only,Layer 1 only,2001-10-15,0,13,0
layer1_only,Layer 1 only,2001-10-16,0,13,0
layer1_only,Layer 1 only,2001-10-17,0,13,0
layer1_only,Layer 1 only,2001-10-18,0,13,0
layer1_only,Layer 1 only,2001-10-19,0,13,0
layer1_only,Layer 1 only,2001-10-22,0,13,0
layer1_only,Layer 1 only,2001-10-23,0,13,0
layer1_only,Layer 1 only,2001-10-24,0,13,0
layer1_only,Layer 1 only,2001-10-25,0,13,0
layer1_only,Layer 1 only,2001-10-26,0,13,0
layer1_only,Layer 1 only,2001-10-29,0,13,0
layer1_only,Layer 1 only,2001-10-30,0,13,0
layer1_only,Layer 1 only,2001-10-31,0,13,0
layer1_only,Layer 1 only,2001-11-01,0,13,0
layer1_only,Layer 1 only,2001-11-02,0,13,0
layer1_only,Layer 1 only,2001-11-05,0,13,0
layer1_only,Layer 1 only,2001-11-06,0,13,0
layer1_only,Layer 1 only,2001-11-07,0,13,0
layer1_only,Layer 1 only,2001-11-08,0,13,0
layer1_only,Layer 1 only,2001-11-09,0,13,0
layer1_only,Layer 1 only,2001-11-12,0,13,0
layer1_only,Layer 1 only,2001-11-13,0,13,0
layer1_only,Layer 1 only,2001-11-14,0,13,0
layer1_only,Layer 1 only,2001-11-15,0,13,0
layer1_only,Layer 1 only,2001-11-16,0,13,0
layer1_only,Layer 1 only,2001-11-19,0,13,0
layer1_only,Layer 1 only,2001-11-20,0,13,0
layer1_only,Layer 1 only,2001-11-21,0,13,0
layer1_only,Layer 1 only,2001-11-22,0,13,0
layer1_only,Layer 1 only,2001-11-23,0,13,0
layer1_only,Layer 1 only,2001-11-26,0,13,0
layer1_only,Layer 1 only,2001-11-27,0,13,0
layer1_only,Layer 1 only,2001-11-28,0,13,0
layer1_only,Layer 1 only,2001-11-29,0,13,0
layer1_only,Layer 1 only,2001-11-30,0,13,0
layer1_only,Layer 1 only,2001-12-03,0,13,0
layer1_only,Layer 1 only,2001-12-04,0,13,0
layer1_only,Layer 1 only,2001-12-05,0,13,0
layer1_only,Layer 1 only,2001-12-06,0,13,0
layer1_only,Layer 1 only,2001-12-07,0,13,0
layer1_only,Layer 1 only,2001-12-10,0,13,0
layer1_only,Layer 1 only,2001-12-11,0,13,0
layer1_only,Layer 1 only,2001-12-12,0,13,0
layer1_only,Layer 1 only,2001-12-13,0,13,0
layer1_only,Layer 1 only,2001-12-14,0,13,0
layer1_only,Layer 1 only,2001-12-17,0,13,0
layer1_only,Layer 1 only,2001-12-18,0,13,0
layer1_only,Layer 1 only,2001-12-19,0,13,0
layer1_only,Layer 1 only,2001-12-20,0,13,0
layer1_only,Layer 1 only,2001-12-21,0,13,0
layer1_only,Layer 1 only,2001-12-24,0,13,0
layer1_only,Layer 1 only,2001-12-25,0,13,0
layer1_only,Layer 1 only,2001-12-26,0,13,0
layer1_only,Layer 1 only,2001-12-27,0,13,0
layer1_only,Layer 1 only,2001-12-28,0,13,0
layer1_only,Layer 1 only,2001-12-31,0,13,0
layer1_only,Layer 1 only,2002-01-01,0,13,0
layer1_only,Layer 1 only,2002-01-02,0,13,0
layer1_only,Layer 1 only,2002-01-03,0,13,0
layer1_only,Layer 1 only,2002-01-04,0,13,0
layer1_only,Layer 1 only,2002-01-07,0,13,0
layer1_only,Layer 1 only,2002-01-08,0,13,0
layer1_only,Layer 1 only,2002-01-09,0,13,0
layer1_only,Layer 1 only,2002-01-10,0,13,0
layer1_only,Layer 1 only,2002-01-11,0,13,0
layer1_only,Layer 1 only,2002-01-14,0,13,0
layer1_only,Layer 1 only,2002-01-15,0,13,0
layer1_only,Layer 1 only,2002-01-16,0,13,0
layer1_only,Layer 1 only,2002-01-17,0,13,0
layer1_only,Layer 1 only,2002-01-18,0,13,0
layer1_only,Layer 1 only,2002-01-21,0,13,0
layer1_only,Layer 1 only,2002-01-22,0,13,0
layer1_only,Layer 1 only,2002-01-23,0,13,0
layer1_only,Layer 1 only,2002-01-24,0,13,0
layer1_only,Layer 1 only,2002-01-25,0,13,0
layer1_only,Layer 1 only,2002-01-28,0,13,0
layer1_only,Layer 1 only,2002-01-29,0,13,0
layer1_only,Layer 1 only,2002-01-30,0,13,0
layer1_only,Layer 1 only,2002-01-31,0,13,0
layer1_only,Layer 1 only,2002-02-01,13,13,13
layer1_only,Layer 1 only,2002-02-04,13,13,13
layer1_only,Layer 1 only,2002-02-05,13,13,13
layer1_only,Layer 1 only,2002-02-06,13,13,13
layer1_only,Layer 1 only,2002-02-07,13,13,13
layer1_only,Layer 1 only,2002-02-08,13,13,13
layer1_only,Layer 1 only,2002-02-11,13,13,13
layer1_only,Layer 1 only,2002-02-12,13,13,13
layer1_only,Layer 1 only,2002-02-13,13,13,13
layer1_only,Layer 1 only,2002-02-14,13,13,13
