ticker,config_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,applied_strict_mode,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
TLKM,hold_5_mintrades_5,5,5,0.0,1.5,False,92,39.13,39.1304,-0.7489,56.4716,True,9.8669,20.0,28.2358,0.0,1.6311,telco,,telekomunikasi,
UNVR,hold_3_mintrades_10,3,10,0.0,1.5,False,83,40.96,40.9639,-0.2242,31.7623,True,11.7287,40.0,15.8811,0.0,35.8475,consumer,,konsumsi,
UNVR,hold_5_mintrades_10,5,10,0.0,1.5,False,76,44.74,44.7368,0.2029,40.3116,True,13.9283,40.0,20.1558,0.0,33.7725,consumer,,konsumsi,
UNVR,hold_7_mintrades_10,7,10,0.0,1.5,False,66,45.45,45.4545,0.116,49.355,True,13.9263,40.0,24.6775,0.0,29.2489,consumer,,konsumsi,
UNVR,hold_3_mintrades_8,3,8,0.0,1.5,False,83,40.96,40.9639,-0.2242,31.7623,True,11.7287,32.0,15.8811,0.0,27.8475,consumer,,konsumsi,
UNVR,hold_5_mintrades_8,5,8,0.0,1.5,False,76,44.74,44.7368,0.2029,40.3116,True,13.9283,32.0,20.1558,0.0,25.7725,consumer,,konsumsi,
UNVR,hold_7_mintrades_8,7,8,0.0,1.5,False,66,45.45,45.4545,0.116,49.355,True,13.9263,32.0,24.6775,0.0,21.2489,consumer,,konsumsi,
UNVR,hold_3_mintrades_5,3,5,0.0,1.5,False,83,40.96,40.9639,-0.2242,31.7623,True,11.7287,20.0,15.8811,0.0,15.8475,consumer,,konsumsi,
UNVR,hold_5_mintrades_5,5,5,0.0,1.5,False,76,44.74,44.7368,0.2029,40.3116,True,13.9283,20.0,20.1558,0.0,13.7725,consumer,,konsumsi,
UNVR,hold_7_mintrades_5,7,5,0.0,1.5,False,66,45.45,45.4545,0.116,49.355,True,13.9263,20.0,24.6775,0.0,9.2489,consumer,,konsumsi,
