ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
KBLV,MOMENTUM,195,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
KIJA,MOMENTUM,148,12,LULUS 0/3,,25.0,-0.636707777177295,-1.087130984643183,-1.46136136923354,False,False,False,0.0
KOKA,MOMENTUM,123,12,LULUS PENUH,,75.0,6.481267511687176,2.8392345059326947,0.9168169139136426,True,True,True,3.0
KOTA,MOMENTUM,149,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
LSIP,MOMENTUM,171,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
MAPI,MOMENTUM,75,13,LULUS 0/3,,7.6923076923076925,-1.1373997696433573,-1.5079574710037995,-1.6010346642590636,False,False,False,0.0
MAXI,MOMENTUM,63,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
MBMA,MOMENTUM,91,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
MCAS,MOMENTUM,90,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
MDIA,MOMENTUM,130,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
MDKA,MOMENTUM,106,12,LULUS 0/3,,50.0,-0.18138662871441313,0.104559592725631,-0.7137298280835728,False,False,False,0.0
MEDC,MOMENTUM,112,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
MINA,MOMENTUM,139,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
MLPL,MOMENTUM,118,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
MLPT,MOMENTUM,198,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
NCKL,MOMENTUM,100,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
